LM1,TS,LM2,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,oe,3ob,0,1,1,1,1,1,1,0
4c1,oh1,3ob,0,1,1,0,1,1,1,0
4c1,4h3,2so,1,1,1,0,1,0,0,0
4c1,e3,2so,1,1,1,0,1,0,0,0
1s5,1e(0),1c4,1,1,1,1,1,1,1,1
1s5,1h2,1c4,1,1,1,1,1,1,1,1
14b,1e(0),1c4,0,1,0,1,1,0,0,1
14b,1h2,1c4,0,1,0,0,1,0,0,0
2so,1s5,3ob,0,0,0,0,1,0,0,0
2so,1s5,os2,0,0,0,0,1,0,0,0
4c1,e1,25b,0,0,0,0,1,0,0,0
2so,5e,1c4,1,1,1,0,1,1,1,0
2so,5ho,1c4,1,1,1,1,1,1,1,0
1s3,5ho,1c4,1,0,0,0,1,0,0,1
4c1,4e,2so,0,0,0,1,1,1,1,1
3ob,3h2,1c4,1,1,1,1,1,0,0,1
os2,3h2,1c4,1,1,1,1,1,1,1,0
2so,14b,1s5,1,1,1,0,1,1,1,0
1s3,14b,1s5,1,1,1,1,1,1,1,1
3s1,b14,25b,0,1,0,0,1,0,0,0
3s1,3s1,25b,0,0,0,0,1,0,0,0
b14,b14,25b,0,1,0,0,1,0,0,0
b14,3s1,25b,0,0,0,0,1,0,0,0
2so,b14,os2,0,0,0,0,1,0,0,0
25b,b14,os2,0,0,0,0,1,0,0,0
25b,5e,1c4,1,1,1,1,1,1,1,1
4c1,oh5,os2,1,1,1,1,1,0,0,0
1s5,b25,os2,1,1,1,0,1,0,0,0
2so,1s3,1s5,0,0,0,0,1,0,0,0
4c1,4e,1s3,0,0,0,1,1,0,0,0
1s5,os2,os2,0,1,1,0,1,0,0,1
14b,os2,os2,0,0,0,0,1,0,0,0
14b,b25,os2,0,0,0,0,1,0,0,0
os2,b14,1c4,0,0,0,0,1,0,0,0
os2,3h4,1c4,0,0,0,0,1,0,0,0
4c1,oh5,3ob,1,1,1,1,1,0,0,0
4c1,4h5,1s5,1,1,1,1,1,1,1,1
4c1,oh1,2so,0,0,1,0,1,0,0,0
4c1,4h5,os2,0,0,0,0,1,1,1,0
1s3,1e(1),1c4,1,1,1,1,0,0,0,0
4c1,oe,3s1,1,1,1,1,0,1,1,0
1s3,bo3,2so,1,1,1,0,0,0,0,0
4c1,4h3,1s3,0,1,1,0,0,0,0,0
14b,1e(1),1c4,1,0,1,1,0,0,0,0
2so,25b,5s1,1,0,1,1,0,0,0,0
2so,5s1,5s1,0,0,1,0,0,0,0,0
4c1,oh1,3s1,1,1,1,0,0,1,1,0
4c1,e1,3s1,1,1,1,0,0,1,1,0
4c1,oh1,b14,1,1,1,0,0,1,1,0
4c1,e1,b14,1,1,1,0,0,1,1,0
4c1,2h3,25b,1,1,1,0,0,1,1,0
4c1,2h3,5s1,0,0,1,0,0,0,0,0
4c1,2h3,2so,1,1,1,0,0,1,1,0
3s1,3ob,os2,1,1,1,1,0,0,0,0
b14,3ob,os2,1,1,1,0,0,0,0,0
3ob,3ob,os2,0,1,1,0,0,0,0,0
4c1,oh5,3s1,0,1,1,1,0,0,0,0
4c1,os2,3s1,0,0,1,0,0,0,0,0
4c1,os2,3ob,0,0,1,0,0,0,0,0
4c1,os2,os2,0,0,1,1,0,0,0,0
